system,seed,n_elements,n_atoms_mean,force_std,force_skew,force_range,silhouette_k2,silhouette_k3,silhouette_k4,pairwise_cosine_mean,pairwise_cosine_std,rho_mean,rho_std,rho_anti_frac
FeNiCrCoCu_HEA,42,5,14.57,1.0543314218521118,-0.0391706340014934,3.410928249359131,,,,,,-0.03359701592585463,0.14134024469502923,0.0
FeNiCrCoCu_HEA,52,5,14.57,1.0510390996932983,-0.119330458343029,3.3339762687683105,,,,,,-0.03359701592585463,0.14134024469502923,0.0
FeNiCrCoCu_HEA,62,5,14.57,1.06564462184906,0.0941480845212936,3.491130352020264,,,,,,-0.03359701592585463,0.14134024469502923,0.0
MgO_surface,42,2,72.36,1.8111991882324217,-0.0221466906368732,5.624878406524658,0.6740879970029332,0.7911437263171416,0.8515413100436646,0.004363071342782,0.005251292399841,,,
MgO_surface,52,2,72.36,1.8660260438919067,0.0494859181344509,5.784976005554199,0.5648163422234175,0.817618055520512,0.8449588315155252,0.0034171071880093,0.0046584797675646,,,
MgO_surface,62,2,72.36,1.8416590690612795,0.0150457415729761,5.723757743835449,0.7863941320345101,0.8177334149765111,0.8215324093611096,0.0034948004269301,0.0051727913077498,,,
Pt_CH_activation,42,3,29.33,1.9352113008499143,-3.738900899887085,2.267052412033081,0.6334318598063989,0.7146855462621365,0.7908118466855989,0.0019430055944983,0.002089789530708,,,
Pt_CH_activation,52,3,29.33,2.25154185295105,-5.173785209655762,2.3522517681121826,0.6447249207681045,0.7363905015018978,0.7920855474143011,0.0017715177173513,0.0019845215618165,,,
Pt_CH_activation,62,3,29.33,1.4526102542877195,-1.759933352470398,2.260947704315185,0.6771002722384452,0.7765864780338384,0.7682963985023452,0.0016604355660135,0.0018294829536816,,,
Zr_oxide_amorphous,42,2,103.72,7.697887420654297,0.108175128698349,14.785924911499023,0.7098848770520698,0.810742576802077,0.8402464439880951,0.0010389532517805,0.001654832812918,,,
Zr_oxide_amorphous,52,2,103.72,8.501943588256836,-1.97286856174469,15.29320240020752,0.7081780265987152,0.8067472936293137,0.8442833351057152,0.0006622736853995,0.0009842942032216,,,
Zr_oxide_amorphous,62,2,103.72,7.7739996910095215,-2.6266112327575684,14.885915756225586,0.7123839555733361,0.7911445135592613,0.8226275224286547,0.0013847694504011,0.0023413864563565,,,
liquid_water,42,2,30.6,5.174871444702148,0.0172867514193058,12.25929832458496,0.8473396216781097,,,0.1416409419563034,0.1779928010500722,0.11808410335645501,0.35427831499210966,0.16666666666666666
liquid_water,52,2,30.6,4.628171443939209,0.0207492187619209,12.225114822387695,0.8480457987722588,0.8504392668591415,0.8728193643289105,0.140551198808797,0.1772101480961023,0.11808410335645501,0.35427831499210966,0.16666666666666666
liquid_water,62,2,30.6,4.294694423675537,-0.0960996150970459,11.551755905151367,0.8752642118446778,0.8743457532072608,0.8752411034853377,0.0929132981490678,0.1526783688270254,0.11808410335645501,0.35427831499210966,0.16666666666666666
zeolite,42,6,44.86,0.7342656254768372,-0.0970422327518463,2.189159154891968,0.9852993458711158,0.9861201142120116,0.9859220340893226,0.0042726813936114,0.0041734815582977,-0.1555283254471058,0.4310190072361067,0.5
zeolite,52,6,44.86,0.7530359029769897,-0.1556505262851715,2.2102160453796387,0.9863072640221155,0.9847345742526912,0.9853494061356198,0.004258312011775,0.0041873121525231,-0.1555283254471058,0.4310190072361067,0.5
zeolite,62,6,44.86,0.7852103114128113,0.1709883213043213,2.186054944992065,0.9858611852806206,0.983757280636128,0.9817138611559024,0.0042848413817895,0.0041860955615918,-0.1555283254471058,0.4310190072361067,0.5
