system,strategy,mean_mae,std_mae,seeds,raw_maes
mp-570316,A_random,1.7771666666666668,0.9389946976539443,3,"[0.9447, 3.0894, 1.2974]"
mp-570316,G_hybrid_weighted,1.7488,0.7952632939263994,3,"[1.4492, 0.9598, 2.8374]"
mp-570316,I_aud_rank,0.8513000000000001,0.4190346604598081,3,"[1.4436, 0.5716, 0.5387]"
mp-22046,A_random,1.0796000000000001,0.5593304747642489,3,"[1.7758, 0.4063, 1.0567]"
mp-22046,G_hybrid_weighted,1.1838666666666666,0.4773976842098094,3,"[1.2069, 0.588, 1.7567]"
mp-22046,I_aud_rank,0.9579999999999999,0.2616639575231306,3,"[1.2128, 0.5982, 1.063]"
mp-729184,A_random,0.8068333333333334,0.45365135168859455,3,"[1.448, 0.5057, 0.4668]"
mp-729184,G_hybrid_weighted,1.2339,0.34745452460238113,3,"[1.3982, 1.5528, 0.7507]"
mp-729184,I_aud_rank,0.8322333333333333,0.38655845899711233,3,"[1.3776, 0.5268, 0.5923]"
mp-632401,A_random,0.4966333333333333,0.3236899167756423,3,"[0.2678, 0.2677, 0.9544]"
mp-632401,G_hybrid_weighted,0.33463333333333334,0.0526586702790296,3,"[0.2611, 0.3612, 0.3816]"
mp-632401,I_aud_rank,0.42883333333333334,0.018773444601942992,3,"[0.4024, 0.4442, 0.4399]"
